Name,Ga_percent,formation_energy_per_atom,Formula
Cu-bulk-Cu9Ga4,30.77,-0.11049061860576928,Cu36Ga16
Cu-bulk-Cu13Ga9,40.91,-0.10725270758522741,Cu26Ga18
Cu-bulk-CuGa,50.0,-0.10102243768750015,Cu5Ga5
Cu-bulk-Cu6Ga2,25.0,-0.09922010328125008,Cu6Ga2
Cu-bulk-Cu3Ga-1184001,25.0,-0.09067090328125016,Cu6Ga2
Cu-bulk-Cu24Ga8_a,25.0,-0.08960874390625007,Cu24Ga8
Cu-bulk-Cu24Ga8_b,25.0,-0.08928417765625007,Cu24Ga8
Cu-bulk-Cu3Ga,25.0,-0.08839242953125015,Cu3Ga
Cu-bulk-Cu3Ga-672265,25.0,-0.08607895774553574,Cu21Ga7
Cu-bulk-CuGa2,66.67,-0.08029360312500004,Cu4Ga8
Cu-bulk-Cu28Ga4,12.5,-0.052989639140625044,Cu28Ga4
Cu-bulk-Cu3Ga7,70.0,-0.0496910815625002,Cu12Ga28
Cu-bulk-Cu7Ga,12.5,-0.04620346570312506,Cu7Ga
Cu-bulk-Cu16Ga16,50.0,-0.027800263437500083,Cu16Ga16
Cu-bulk-Cu30Ga2_b,6.25,-0.027440462539062516,Cu30Ga2
Cu-bulk-Cu30Ga2_a,6.25,-0.027100716601562547,Cu30Ga2
Cu-bulk-Cu2Ga2,50.0,-0.026390174687500156,Cu2Ga2
Cu-bulk-Cu3Ga4,57.14,-0.025152830535714394,Cu48Ga64
Cu-bulk-Cu15Ga,6.25,-0.024230311914062552,Cu15Ga
Cu-bulk-Cu31Ga,3.12,-0.01270444095703116,Cu31Ga
