Name,hkl,slabsize,slab_thickness,vacuum_thickness,mean_coordination
Cu-100-Ga-2x2x4-1,100,2x2x4,5.583859547263815,15.913036345741434,9.75
Cu-100-Ga-2x2x4-2,100,2x2x4,5.642269210758961,15.854626682246288,9.625
Cu-100-Ga-2x2x4-3,100,2x2x4,6.526490017590886,14.970405875414363,9.375
Cu-100-Ga-2x2x4-4,100,2x2x4,6.356840554759655,15.140055338245594,9.25
Cu-100-clean-2x2x4,100,2x2x4,5.466181162133097,16.030714730872152,10.0
Cu-100-clean-2x2x5,100,2x2x5,7.290212111229127,16.03866788877087,10.6
Cu-100-clean-2x2x6,100,2x2x6,9.11254948809637,16.04855051190363,11.0
Cu-100-Ga-3x3x4-1,100,3x3x4,5.605640096953977,15.891255796051272,14.722222222222221
Cu-100-Ga-3x3x4-2,100,3x3x4,5.612869057532141,15.884026835473108,14.5
Cu-100-Ga-3x3x4-3-a,100,3x3x4,5.649049729833859,15.84784616317139,14.333333333333334
Cu-100-Ga-3x3x4-3-b,100,3x3x4,5.7112702929968595,15.78562560000839,14.5
Cu-100-Ga-3x3x4-3-c,100,3x3x4,5.793160535683425,15.703735357321824,14.5
Cu-100-Ga-3x3x4-6,100,3x3x4,5.722857767049794,15.774038125955455,14.0
Cu-100-clean-3x3x4,100,3x3x4,5.470451591242391,16.026444301762858,15.0
Cu-100-Ga-4x2x4-2,100,4x2x4,5.60153328663873,15.895362606366518,11.625
Cu-100-Ga-4x2x4-4,100,4x2x4,5.642269210758961,15.854626682246288,11.5
Cu-100-Ga-4x2x4-8,100,4x2x4,5.642269210758961,15.854626682246288,11.5
Cu-100-clean-4x2x4,100,4x2x4,5.464018012053172,16.03287788095208,12.0
Cu-100-Ga-4x4x4-1,100,4x4x4,5.634907243707003,15.861988649298246,14.84375
Cu-100-Ga-4x4x4-12-a,100,4x4x4,6.529534780232877,14.967361112772371,13.625
Cu-100-Ga-4x4x4-12-b,100,4x4x4,5.781849259082973,15.715046633922276,13.875
Cu-100-Ga-4x4x4-2-a,100,4x4x4,5.593840294465025,15.903055598540224,14.6875
Cu-100-Ga-4x4x4-2-b,100,4x4x4,5.605067514608578,15.89182837839667,14.6875
Cu-100-Ga-4x4x4-4,100,4x4x4,5.602154177673304,15.894741715331945,14.375
Cu-100-Ga-4x4x4-8,100,4x4x4,5.642269210758961,15.854626682246288,14.25
Cu-100-clean-4x4x4,100,4x4x4,5.4609751168264555,16.03592077617879,15.0
Cu-100-clean-4x4x6,100,4x4x6,9.11254948809637,16.04855051190363,16.0
Cu-100-clean-6x4x4,100,6x4x4,5.463797274494437,16.033098618510813,15.0
Cu-100-clean-6x4x4_edged12,100,6x4x4,5.373245788142794,16.123650104862456,14.142857142857142
Cu-100-clean-6x6x4,100,6x6x4,5.464083544467199,16.03281234853805,15.0
Cu-100-clean-6x6x4_edged24,100,6x6x4,5.380678864111886,16.116217028893363,14.1
Cu-100-clean-7x2x4,100,7x2x4,5.480357558056731,16.016538341943267,12.0
Cu-100-clean-7x4x4,100,7x4x4,5.480721062788323,16.016174837211675,15.0
Cu-100-clean-8x8x4,100,8x8x4,5.468487159240151,16.028408733765097,15.0
Cu-100-clean-8x8x4_edged4,100,8x8x4,5.478686028864825,16.018209864140424,14.502127659574468
Cu-100-clean-9x7x4,100,9x7x4,5.475485586696541,16.02201441330346,15.0
Cu-110-Ga-1x2x4-2,110,1x2x4,4.02627684127884,15.86044899944756,5.5
Cu-110-clean-1x2x4,110,1x2x4,3.827958529506697,16.058767311219704,6.0
Cu-110-clean-1x2x8,110,1x2x8,8.986598383495938,16.924907216504064,7.5
Cu-110-clean-2x1x4,110,2x1x4,8.929945247102498,16.137930652897502,11.8
Cu-110-clean-2x1x5,110,2x1x5,10.21028990964452,26.15258599035548,12.058823529411764
Cu-110-clean-2x1x6,110,2x1x6,11.499314152970083,26.15854484702992,12.263157894736842
Cu-110-clean-2x1x8,110,2x1x8,8.986598383495938,16.924907216504064,7.5
Cu-110-Ga-2x2x4-1,110,2x2x4,3.99158600111995,15.895139839606449,9.75
Cu-110-Ga-2x2x4-2-a,110,2x2x4,3.9958974096909987,15.8908284310354,9.5
Cu-110-Ga-2x2x4-2-b,110,2x2x4,4.009650781281721,15.877075059444678,9.5
Cu-110-Ga-2x2x4-2-c,110,2x2x4,4.014709993881107,15.872015846845292,9.625
Cu-110-Ga-2x2x4-3,110,2x2x4,4.035966995013597,15.850758845712802,9.375
Cu-110-clean-2x2x4,110,2x2x4,3.8279830614988644,16.058742779227536,10.0
Cu-110-Ga-2x2x5-1,110,2x2x5,5.176367961768159,16.005933159200374,10.6
