Name,hkl,Monolayer_alloy,form_G_per_Area,average_Ga_GCN,average_Ga_charge
Cu-110-Ga-2x2x9-4-b,110,200.0,-0.07824068144295482,8.875,2.621117
Cu-110-Ga-2x2x9-6-a,110,150.0,-0.0691203869926172,6.944333333333333,2.7798935
Cu-110-Ga-1x2x4-2,110,100.0,-0.06276748410792292,5.75,2.7009615
Cu-110-Ga-2x2x6-4,110,100.0,-0.06256063014134157,5.833,2.7016790000000004
Cu-211-Ga-3x3x4-7,211,233.33,-0.060484827256427426,6.024,2.8023504285714287
Cu-211-Ga-2x3x4-5,211,250.0,-0.059601287876719054,6.2166,2.803139
Cu-110-Ga-2x2x9-8-a,110,200.0,-0.05815069427394968,6.5835,2.8663350000000003
Cu-211-Ga-4x3x4-9,211,225.0,-0.057835669788101576,6.111222222222222,2.797876666666667
Cu-211-Ga-4x3x4-11,211,275.0,-0.05718738157420909,6.143727272727273,2.836502909090909
Cu-110-Ga-2x2x9-4-a,110,100.0,-0.05644958475610479,5.833,2.709784
Cu-211-Ga-2x3x4-4,211,200.0,-0.05614474325740754,6.416499999999999,2.789697
Cu-211-Ga-3x3x4-6,211,200.0,-0.0550940607050604,6.416499999999999,2.793597833333333
Cu-211-Ga-4x3x4-7,211,175.0,-0.052976343039217604,6.285571428571428,2.7621127142857143
Cu-211-Ga-2x3x4-6,211,300.0,-0.052928790649504294,6.083333333333333,2.867324333333334
Cu-211-Ga-3x3x4-5-a,211,166.67,-0.052607807925504194,6.2332,2.7550932
Cu-111-Ga-3x3x6-6,111,66.67,-0.05239681850333701,7.5,2.7141331666666666
Cu-111-Ga-2x2x6-2,111,50.0,-0.05239311715090229,7.5,2.66867
Cu-111-Ga-4x4x6-8,111,50.0,-0.052375288835742884,7.5,2.67304925
Cu-110-Ga-2x2x9-10-a,110,250.0,-0.05226378566322716,5.7,2.8717061999999998
Cu-211-Ga-4x3x4-6,211,150.0,-0.051638974788957764,7.194333333333333,2.195701833333333
Cu-110-Ga-2x2x4-3,110,75.0,-0.051458465069838415,5.75,2.6723149999999998
Cu-111-Ga-3x3x4-6,111,66.67,-0.0508184561832125,7.5,2.7120916666666663
Cu-111-Ga-4x4x4-9,111,56.25,-0.05046430195765216,7.5,3.590124888888889
Cu-110-Ga-3x3x6-6,110,66.67,-0.04965525349717324,5.832999999999999,2.6303361666666665
Cu-110-Ga-3x3x4-6,110,66.67,-0.049244682986931305,5.75,2.6421121666666667
Cu-211-Ga-2x3x4-3-a,211,150.0,-0.04874716626989753,6.111,2.735171
Cu-111-Ga-4x4x4-8-a,111,50.0,-0.04869874675469772,7.5,2.668091
Cu-111-Ga-2x2x6-3,111,75.0,-0.04679082318627974,6.0553333333333335,2.7859796666666665
Cu-100-Ga-3x3x4-6,100,66.67,-0.04655495224388702,6.667000000000001,2.7054383333333334
Cu-100-Ga-2x2x4-2,100,50.0,-0.04640292377139198,6.667,2.5633454999999996
